ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_Nuclei,Parent_SecratoryMembrane
4,4,930.4103139013453,17.495515695067265,4,4,4
4,5,700.9725685785536,29.037406483790523,5,5,5
4,6,1256.90099009901,33.97128712871287,6,6,6
4,7,1141.155487804878,50.0625,7,7,7
4,8,856.2669196710942,59.70082226438963,8,8,8
4,9,562.7407407407408,66.93333333333334,9,9,9
4,10,965.375,63.861111111111114,10,10,10
4,11,539.7820512820513,68.42948717948718,11,11,11
4,12,151.8621399176955,49.016460905349795,12,12,12
4,13,1034.60162601626,72.34146341463415,13,13,13
4,14,179.6244939271255,80.49493927125506,14,14,14
4,15,1212.2279411764705,84.20588235294117,15,15,15
4,16,146.7565663036515,111.1037796284433,16,16,16
4,17,708.4385321100917,98.68256880733945,17,17,17
4,18,449.25,111.92391304347827,18,18,18
4,19,685.256880733945,123.27522935779817,19,19,19
4,20,438.3380281690141,128.50704225352112,20,20,20
4,21,434.7704918032787,140.59016393442624,21,21,21
4,22,905.8957845433255,152.4092505854801,22,22,22
4,23,57.68181818181818,172.97402597402598,23,23,23
4,24,1012.7496136012364,179.58268933539412,24,24,24
4,25,601.1983122362869,182.48101265822785,25,25,25
4,26,637.7561728395061,192.94135802469137,26,26,26
4,27,600.3294117647059,206.45490196078433,27,27,27
4,28,633.1043956043956,218.97619047619048,28,28,28
4,29,399.74285714285713,213.75238095238095,29,29,29
4,30,385.96153846153845,230.66346153846155,30,30,30
4,31,337.4877300613497,231.3159509202454,31,31,31
4,32,1014.5869218500798,246.9090909090909,32,32,32
4,33,914.8043956043956,243.46857142857144,33,33,33
4,34,850.288,249.488,34,34,34
4,35,857.3805970149253,263.1194029850746,35,35,35
4,36,370.9431279620853,288.9620853080569,36,36,36
4,37,682.1052631578947,298.17894736842106,37,37,37
4,38,491.5598705501618,316.8673139158576,38,38,38
4,39,672.3965517241379,309.1896551724138,39,39,39
4,40,884.1102074013827,331.3123220821472,40,40,40
4,41,1021.3921568627451,318.83529411764704,41,41,41
4,42,476.0888888888889,332.5650793650794,42,42,42
4,43,1026.049645390071,333.7517730496454,43,43,43
4,44,1092.0391061452515,380.0391061452514,44,44,44
4,45,927.1800262812089,388.6517739816031,45,45,45
4,46,1006.1455696202531,406.56962025316454,46,46,46
4,47,819.8020833333334,402.9988425925926,47,47,47
4,48,526.684335443038,441.3607594936709,48,48,48
